School,Location,Progressed to Sustained App'ship (%),Progressed to Sustained L4 or above  (%),Progressed to Top-Third Higher Education (%),Progressed to Russell Group Institution (%),Progressed to Oxford or Cambridge (%),Progressed to Sciences (avg) %,OFSTED Score % (Accounting for Time Since OFTSTED Visit),OFTSTED rating,Last OFSTED Visit,Performance Across All Indices %,Region_name
Kendal College,Westmorland and Furness,5.00%,49.00%,7.00%,3.00%,0.00%,10.13%,50.00%,Requires improvement,2023-10-13 00:00:00,14.62%,North West
Cheam High School,Sutton,2.00%,67.00%,15.00%,10.00%,0.00%,9.85%,20.00%,Outstanding,2015-02-12 00:00:00,14.59%,London
Mulberry UTC,Tower Hamlets,0.00%,85.00%,15.00%,12.00%,0.00%,5.90%,25.00%,Good,2020-03-11 00:00:00,14.57%,London
UTC Swindon,Swindon,0.00%,47.00%,5.00%,5.00%,0.00%,16.67%,16.67%,Requires improvement,2020-03-04 00:00:00,14.56%,South West
Richard Rose Central Academy,Cumberland,0.00%,68.00%,8.00%,8.00%,0.00%,6.48%,50.00%,Requires improvement,2022-06-09 00:00:00,14.54%,North West
Birmingham Ormiston Academy,Birmingham,,74.00%,10.00%,7.00%,0.00%,1.17%,75.00%,Good,2023-05-24 00:00:00,14.53%,West Midlands
Sackville School,West Sussex,1.00%,57.00%,17.00%,16.00%,2.00%,8.62%,25.00%,Good,2019-01-10 00:00:00,14.50%,South East
Chosen Hill School,Gloucestershire,2.00%,70.00%,11.00%,10.00%,0.00%,10.63%,15.00%,Good,2018-10-31 00:00:00,14.48%,South West
Saltash Community School,Cornwall,0.00%,64.00%,6.00%,12.00%,2.00%,6.03%,50.00%,Requires improvement,2022-12-07 00:00:00,14.47%,South West
Ormiston Bushfield Academy,Peterborough,0.00%,68.00%,12.00%,12.00%,0.00%,9.00%,25.00%,Good,2019-12-04 00:00:00,14.45%,East of England
Holyrood Academy,Somerset,2.00%,37.00%,6.00%,6.00%,0.00%,7.70%,75.00%,Good,2023-02-08 00:00:00,14.45%,South West
Beckfoot Oakbank,Bradford,0.00%,78.00%,24.00%,23.00%,0.00%,7.27%,0.00%,Serious Weaknesses,2022-11-03 00:00:00,14.43%,Yorkshire and The Humber
Oaklands College,Hertfordshire,3.00%,47.00%,4.00%,4.00%,0.00%,6.55%,75.00%,Good,2023-09-22 00:00:00,14.43%,East of England
Lydiard Park Academy,Swindon,2.00%,59.00%,19.00%,14.00%,2.00%,9.70%,15.00%,Good,2018-01-24 00:00:00,14.42%,South West
Gateacre School,Liverpool,2.00%,75.00%,13.00%,11.00%,0.00%,8.85%,16.67%,Requires improvement,2020-03-04 00:00:00,14.41%,North West
Bradford College,Bradford,1.00%,61.00%,2.00%,2.00%,0.00%,13.57%,25.00%,Good,2021-11-12 00:00:00,14.40%,Yorkshire and The Humber
The Highcrest Academy,Buckinghamshire,0.00%,64.00%,8.00%,8.00%,0.00%,11.00%,25.00%,Good,2020-02-12 00:00:00,14.38%,South East
Harris Girls' Academy East Dulwich,Southwark,0.00%,79.00%,14.00%,11.00%,0.00%,7.72%,20.00%,Outstanding,2012-03-15 00:00:00,14.38%,London
Barnwell School,Hertfordshire,0.00%,55.00%,5.00%,2.00%,0.00%,14.18%,25.00%,Good,2021-11-25 00:00:00,14.38%,East of England
King Edward VI College,Warwickshire,2.00%,73.00%,11.00%,10.00%,,9.90%,15.00%,Good,2017-11-22 00:00:00,14.37%,West Midlands
Skinners' Kent Academy,Kent,0.00%,70.00%,19.00%,7.00%,0.00%,0.00%,75.00%,Good,2023-05-11 00:00:00,14.37%,South East
Royal Greenwich Trust School,Greenwich,2.00%,69.00%,12.00%,12.00%,0.00%,0.00%,75.00%,Good,2022-10-12 00:00:00,14.37%,London
Wilmington Academy,Kent,2.00%,55.00%,9.00%,5.00%,0.00%,0.00%,100.00%,Outstanding,2023-05-05 00:00:00,14.33%,South East
The King John School,Essex,7.00%,65.00%,15.00%,11.00%,0.00%,7.75%,25.00%,Good,2021-07-08 00:00:00,14.31%,East of England
City of Wolverhampton College,Wolverhampton,1.00%,45.00%,2.00%,2.00%,0.00%,7.72%,75.00%,Good,2023-01-20 00:00:00,14.31%,West Midlands
Yeovil College,Somerset,1.00%,32.00%,3.00%,3.00%,0.00%,13.67%,50.00%,Requires improvement,2023-03-10 00:00:00,14.30%,South West
Nottingham University Samworth Academy,Nottingham,0.00%,50.00%,21.00%,21.00%,0.00%,0.00%,75.00%,Good,2023-05-18 00:00:00,14.27%,East Midlands
Thomas Telford University Technical College,Wolverhampton,14.00%,62.00%,3.00%,3.00%,0.00%,12.27%,15.00%,Good,2018-06-20 00:00:00,14.27%,West Midlands
Medina College,Isle of Wight,1.00%,67.00%,15.00%,10.00%,1.00%,9.65%,16.67%,Requires improvement,2020-01-22 00:00:00,14.26%,South East
Treviglas Academy,Cornwall,0.00%,49.00%,11.00%,9.00%,0.00%,8.33%,50.00%,Requires improvement,2023-03-08 00:00:00,14.23%,South West
The Halley Academy,Greenwich,0.00%,80.00%,7.00%,7.00%,0.00%,0.00%,75.00%,Good,2022-06-22 00:00:00,14.20%,London
Hillview School for Girls,Kent,0.00%,58.00%,12.00%,10.00%,0.00%,2.23%,75.00%,Good,2023-09-20 00:00:00,14.20%,South East
Childwall Sports & Science Academy,Liverpool,3.00%,57.00%,16.00%,16.00%,0.00%,0.00%,75.00%,Good,2022-05-26 00:00:00,14.18%,North West
The Coleshill School,Warwickshire,6.00%,60.00%,18.00%,17.00%,0.00%,6.80%,25.00%,Good,2020-03-04 00:00:00,14.18%,West Midlands
Mildenhall College Academy,Suffolk,3.00%,53.00%,9.00%,5.00%,0.00%,14.02%,15.00%,Good,2018-11-14 00:00:00,14.18%,East of England
Cowley International College,St. Helens,2.00%,60.00%,9.00%,6.00%,1.00%,10.88%,25.00%,Good,2021-11-24 00:00:00,14.17%,North West
Moor Park High School and Sixth Form,Lancashire,12.00%,53.00%,6.00%,6.00%,0.00%,11.10%,25.00%,Good,2021-09-30 00:00:00,14.15%,North West
John Leggott Sixth Form College,North Lincolnshire,1.00%,67.00%,13.00%,11.00%,,10.10%,15.00%,Good,2018-05-09 00:00:00,14.15%,Yorkshire and The Humber
Westfield Academy,Hertfordshire,2.00%,77.00%,4.00%,2.00%,0.00%,9.85%,25.00%,Good,2019-12-11 00:00:00,14.13%,East of England
The Priory Ruskin Academy,Lincolnshire,2.00%,68.00%,13.00%,10.00%,0.00%,9.02%,20.00%,Outstanding,2017-11-13 00:00:00,14.09%,East Midlands
Newcastle and Stafford Colleges Group,Staffordshire,2.00%,59.00%,5.00%,4.00%,,10.82%,33.33%,Outstanding,2019-10-25 00:00:00,14.09%,West Midlands
Ormiston SWB Academy,Wolverhampton,0.00%,69.00%,0.00%,0.00%,0.00%,12.50%,25.00%,Good,2021-11-25 00:00:00,14.08%,West Midlands
Burnley College,Lancashire,2.00%,59.00%,8.00%,5.00%,0.00%,11.48%,25.00%,Good,2021-11-26 00:00:00,14.07%,North West
Cornwallis Academy,Kent,1.00%,32.00%,0.00%,0.00%,0.00%,10.08%,75.00%,Good,2023-01-12 00:00:00,14.04%,South East
Ormiston NEW Academy,Wolverhampton,0.00%,63.00%,7.00%,7.00%,0.00%,2.50%,75.00%,Good,2022-02-16 00:00:00,14.03%,West Midlands
Havant and South Downs College,Hampshire,2.00%,60.00%,11.00%,10.00%,,9.72%,25.00%,Good,2020-03-13 00:00:00,14.03%,South East
"Teignmouth Community School, Exeter Road",Devon,0.00%,47.00%,7.00%,7.00%,0.00%,17.65%,0.00%,Serious Weaknesses,2023-03-14 00:00:00,14.03%,South West
Kingsthorpe College,West Northamptonshire,0.00%,74.00%,4.00%,4.00%,0.00%,10.05%,25.00%,Good,2019-12-11 00:00:00,14.01%,East Midlands
Our Lady's Catholic College,Lancashire,0.00%,54.00%,31.00%,15.00%,3.00%,7.30%,16.67%,Requires improvement,2021-09-24 00:00:00,14.00%,North West
Greensward Academy,Essex,3.00%,61.00%,10.00%,6.00%,0.00%,11.93%,15.00%,Good,2018-02-20 00:00:00,13.98%,East of England
Cirencester College,Gloucestershire,1.00%,66.00%,15.00%,15.00%,1.00%,8.55%,15.00%,Good,2018-11-23 00:00:00,13.98%,South West
City of Bristol College,"Bristol, City of",1.00%,39.00%,4.00%,6.00%,0.00%,6.90%,75.00%,Good,2023-01-20 00:00:00,13.97%,South West
Herne Bay High School,Kent,0.00%,58.00%,4.00%,2.00%,1.00%,4.45%,75.00%,Good,2022-06-15 00:00:00,13.97%,South East
Halesowen College,Dudley,1.00%,51.00%,3.00%,2.00%,0.00%,5.85%,75.00%,Good,2023-09-29 00:00:00,13.96%,West Midlands
Welling School,Bexley,2.00%,60.00%,4.00%,2.00%,0.00%,8.17%,50.00%,Requires improvement,2023-10-05 00:00:00,13.95%,London
Silverstone UTC,West Northamptonshire,12.00%,60.00%,6.00%,3.00%,0.00%,11.52%,16.67%,Requires improvement,2019-10-16 00:00:00,13.95%,East Midlands
Outwood Academy Hemsworth,Wakefield,0.00%,64.00%,5.00%,5.00%,0.00%,7.00%,50.00%,Requires improvement,2022-10-12 00:00:00,13.92%,Yorkshire and The Humber
Grace Academy Coventry,Coventry,0.00%,69.00%,8.00%,8.00%,0.00%,10.62%,16.67%,Requires improvement,2019-12-18 00:00:00,13.91%,West Midlands
Thurstable School Sports College and Sixth Form Centre,Essex,0.00%,45.00%,4.00%,4.00%,1.00%,10.23%,50.00%,Requires improvement,2022-09-22 00:00:00,13.89%,East of England
Co-op Academy Priesthorpe,Leeds,2.00%,83.00%,5.00%,5.00%,0.00%,9.00%,16.67%,Requires improvement,2020-03-04 00:00:00,13.89%,Yorkshire and The Humber
Staffordshire University Academy,Staffordshire,0.00%,50.00%,10.00%,10.00%,0.00%,3.25%,75.00%,Good,2023-10-11 00:00:00,13.88%,West Midlands
Energy Coast UTC,Cumberland,22.00%,36.00%,0.00%,0.00%,0.00%,5.55%,75.00%,Good,2023-03-08 00:00:00,13.86%,North West
Queen Elizabeth Studio School,Westmorland and Furness,3.00%,69.00%,6.00%,3.00%,0.00%,1.60%,75.00%,Good,2022-02-02 00:00:00,13.85%,North West
Hopwood Hall College,Rochdale,1.00%,37.00%,2.00%,1.00%,0.00%,8.33%,75.00%,Good,2023-04-28 00:00:00,13.85%,North West
Plympton Academy,Plymouth,4.00%,67.00%,8.00%,8.00%,2.00%,9.62%,16.67%,Requires improvement,2020-03-11 00:00:00,13.83%,South West
St George's Academy,Lincolnshire,2.00%,68.00%,14.00%,14.00%,1.00%,6.42%,25.00%,Good,2019-01-29 00:00:00,13.82%,East Midlands
South Devon UTC,Devon,0.00%,23.00%,8.00%,8.00%,0.00%,16.67%,25.00%,Good,2021-10-06 00:00:00,13.80%,South West
Rainham School for Girls,Medway,1.00%,62.00%,3.00%,2.00%,0.00%,3.68%,75.00%,Good,2022-04-21 00:00:00,13.79%,South East
Notre Dame RC School,Plymouth,2.00%,73.00%,6.00%,6.00%,0.00%,8.70%,25.00%,Good,2019-06-05 00:00:00,13.78%,South West
Princes Risborough School,Buckinghamshire,0.00%,57.00%,3.00%,3.00%,0.00%,4.47%,75.00%,Good,2022-11-02 00:00:00,13.78%,South East
Colchester Institute,Essex,3.00%,36.00%,1.00%,,0.00%,8.33%,75.00%,Good,2022-05-20 00:00:00,13.75%,East of England
Merchants' Academy,"Bristol, City of",5.00%,32.00%,5.00%,5.00%,0.00%,16.67%,16.67%,Requires improvement,2020-02-27 00:00:00,13.72%,South West
Mount Grace School,Hertfordshire,2.00%,58.00%,2.00%,2.00%,0.00%,8.33%,50.00%,Requires improvement,2022-11-03 00:00:00,13.70%,East of England
Oriel High School,West Sussex,2.00%,51.00%,13.00%,10.00%,0.00%,10.20%,25.00%,Good,2019-10-02 00:00:00,13.68%,South East
Aylesford School Warwick,Warwickshire,5.00%,75.00%,10.00%,8.00%,0.00%,8.22%,15.00%,Good,2018-04-18 00:00:00,13.66%,West Midlands
Ely College,Cambridgeshire,7.00%,44.00%,7.00%,4.00%,0.00%,12.50%,25.00%,Good,2019-06-12 00:00:00,13.57%,East of England
Chase High School,Southend-on-Sea,0.00%,54.00%,11.00%,7.00%,0.00%,2.38%,75.00%,Good,2022-02-02 00:00:00,13.56%,East of England
Logic Studio School,Hounslow,0.00%,58.00%,4.00%,5.00%,0.00%,11.52%,25.00%,Good,2019-03-14 00:00:00,13.51%,London
Bilton School,Warwickshire,0.00%,74.00%,5.00%,5.00%,0.00%,8.68%,25.00%,Good,2021-07-07 00:00:00,13.51%,West Midlands
David Nieper Academy,Derbyshire,0.00%,42.00%,0.00%,0.00%,0.00%,7.50%,75.00%,Good,2022-09-28 00:00:00,13.50%,East Midlands
Longley Park Sixth Form Academy,Sheffield,0.00%,77.00%,7.00%,7.00%,0.00%,9.02%,15.00%,Good,2018-10-05 00:00:00,13.46%,Yorkshire and The Humber
Harris Garrard Academy,Bexley,0.00%,54.00%,8.00%,0.00%,0.00%,12.37%,25.00%,Good,2021-11-18 00:00:00,13.43%,London
Activate Learning,Oxfordshire,1.00%,40.00%,4.00%,3.00%,,6.23%,75.00%,Good,2022-11-25 00:00:00,13.42%,South East
Leigh Academy Tonbridge,Kent,0.00%,50.00%,0.00%,0.00%,0.00%,5.88%,75.00%,Good,2022-12-07 00:00:00,13.36%,South East
"Ealing, Hammersmith and West London College",Hammersmith and Fulham,,57.00%,2.00%,1.00%,0.00%,8.33%,50.00%,Requires improvement,2023-01-20 00:00:00,13.35%,London
Salford City College,Salford,1.00%,57.00%,6.00%,5.00%,0.00%,10.83%,25.00%,Good,2019-12-04 00:00:00,13.33%,North West
New College Durham,County Durham,1.00%,46.00%,5.00%,5.00%,0.00%,4.48%,75.00%,Good,2022-11-18 00:00:00,13.32%,North East
North Kesteven Academy,Lincolnshire,0.00%,67.00%,5.00%,5.00%,0.00%,5.13%,50.00%,Requires improvement,2022-03-16 00:00:00,13.23%,East Midlands
The Brooke House Sixth Form College,Hackney,,63.00%,7.00%,6.00%,,9.40%,25.00%,Good,2021-10-15 00:00:00,13.22%,London
The Holgate Academy,Nottinghamshire,4.00%,71.00%,14.00%,11.00%,0.00%,9.33%,0.00%,Serious Weaknesses,2022-06-15 00:00:00,13.18%,East Midlands
Sir Bernard Lovell Academy,South Gloucestershire,3.00%,54.00%,8.00%,13.00%,0.00%,8.65%,25.00%,Good,2021-11-05 00:00:00,13.13%,South West
East Norfolk Sixth Form College,Norfolk,2.00%,57.00%,9.00%,7.00%,1.00%,9.10%,25.00%,Good,2020-02-27 00:00:00,13.12%,East of England
BRIT School for Performing Arts and Technology,Croydon,0.00%,60.00%,9.00%,3.00%,,1.63%,75.00%,Good,2023-06-15 00:00:00,13.12%,London
Long Road Sixth Form College,Cambridgeshire,1.00%,67.00%,9.00%,7.00%,,7.82%,25.00%,Good,2019-12-12 00:00:00,13.11%,East of England
Franklin College,North East Lincolnshire,1.00%,66.00%,10.00%,9.00%,,9.05%,15.00%,Good,2018-09-28 00:00:00,13.09%,Yorkshire and The Humber
Wadham School,Somerset,0.00%,69.00%,13.00%,31.00%,0.00%,2.08%,25.00%,Good,2019-06-27 00:00:00,13.06%,South West
Landau Forte Academy Tamworth Sixth Form,Staffordshire,3.00%,54.00%,8.00%,6.00%,0.00%,11.58%,15.00%,Good,2018-09-20 00:00:00,13.06%,West Midlands
Dinnington High School,Rotherham,4.00%,54.00%,7.00%,6.00%,0.00%,11.23%,16.67%,Requires improvement,2020-02-12 00:00:00,13.02%,Yorkshire and The Humber
Brompton Academy,Medway,0.00%,62.00%,5.00%,4.00%,0.00%,5.73%,50.00%,Requires improvement,2022-09-22 00:00:00,13.02%,South East
Chelmsford College,Essex,2.00%,36.00%,1.00%,1.00%,0.00%,16.67%,15.00%,Good,2017-12-15 00:00:00,12.93%,East of England
Macclesfield College,Cheshire East,1.00%,38.00%,1.00%,,0.00%,16.67%,15.00%,Good,2017-11-23 00:00:00,12.92%,North West
Shoreham Academy,West Sussex,2.00%,60.00%,12.00%,9.00%,0.00%,8.32%,20.00%,Outstanding,2012-05-31 00:00:00,12.89%,South East
Ormiston Sudbury Academy,Suffolk,0.00%,59.00%,24.00%,18.00%,0.00%,0.00%,50.00%,Requires improvement,2023-09-13 00:00:00,12.88%,East of England
Loughborough College,Leicestershire,1.00%,53.00%,6.00%,5.00%,,12.18%,15.00%,Good,2017-05-26 00:00:00,12.84%,East Midlands
Ormiston Bolingbroke Academy,Halton,1.00%,49.00%,5.00%,4.00%,0.00%,7.32%,50.00%,Requires improvement,2023-05-11 00:00:00,12.81%,North West
The Ravensbourne School,Bromley,2.00%,62.00%,5.00%,4.00%,0.00%,10.72%,15.00%,Good,2018-05-01 00:00:00,12.76%,London
Waltham Forest College,Waltham Forest,0.00%,38.00%,0.00%,0.00%,0.00%,16.67%,15.00%,Good,2018-02-09 00:00:00,12.75%,London
John Colet School,Buckinghamshire,0.00%,63.00%,13.00%,6.00%,0.00%,7.45%,25.00%,Good,2020-02-26 00:00:00,12.74%,South East
St John's Catholic Comprehensive,Kent,1.00%,75.00%,1.00%,1.00%,0.00%,9.93%,15.00%,Good,2018-05-15 00:00:00,12.73%,South East
Attleborough Academy,Norfolk,2.00%,71.00%,2.00%,2.00%,0.00%,8.37%,25.00%,Good,2021-12-08 00:00:00,12.72%,East of England
Tendring Technology College,Essex,1.00%,68.00%,6.00%,6.00%,0.00%,11.73%,0.00%,Serious Weaknesses,2021-11-11 00:00:00,12.72%,East of England
Ellowes Hall Sports College,Dudley,5.00%,66.00%,3.00%,3.00%,0.00%,0.00%,75.00%,Good,2023-04-26 00:00:00,12.72%,West Midlands
Varndean College,Brighton and Hove,,66.00%,19.00%,16.00%,,5.48%,15.00%,Good,2018-11-01 00:00:00,12.68%,South East
Outwood Academy Danum,Doncaster,0.00%,55.00%,7.00%,7.00%,0.00%,11.10%,15.00%,Good,2018-11-30 00:00:00,12.67%,Yorkshire and The Humber
Newman Catholic College,Brent,0.00%,77.00%,0.00%,0.00%,0.00%,0.00%,75.00%,Good,2022-05-05 00:00:00,12.67%,London
New City College,Tower Hamlets,1.00%,57.00%,6.00%,5.00%,0.00%,9.38%,25.00%,Good,2021-12-03 00:00:00,12.61%,London
Ortu Gable Hall School,Thurrock,2.00%,52.00%,15.00%,10.00%,0.00%,11.68%,0.00%,Serious Weaknesses,2022-05-05 00:00:00,12.59%,East of England
Hereford College of Arts,"Herefordshire, County of",0.00%,49.00%,2.00%,0.00%,0.00%,0.00%,100.00%,Outstanding,2023-10-20 00:00:00,12.58%,West Midlands
Coombe Boys' School,Kingston upon Thames,0.00%,76.00%,0.00%,0.00%,0.00%,0.00%,75.00%,Good,2023-09-13 00:00:00,12.58%,London
Middlesbrough College,Middlesbrough,1.00%,53.00%,3.00%,3.00%,,12.47%,15.00%,Good,2018-09-14 00:00:00,12.53%,North East
The Netherhall School,Cambridgeshire,4.00%,68.00%,5.00%,4.00%,0.00%,8.92%,15.00%,Good,2018-10-17 00:00:00,12.53%,East of England
East Coast College,Suffolk,1.00%,48.00%,8.00%,7.00%,1.00%,9.72%,25.00%,Good,2020-02-14 00:00:00,12.52%,East of England
Bodmin College,Cornwall,1.00%,69.00%,10.00%,7.00%,0.00%,7.52%,16.67%,Requires improvement,2021-11-24 00:00:00,12.51%,South West
Churchdown School,Gloucestershire,1.00%,54.00%,11.00%,11.00%,0.00%,7.63%,25.00%,Good,2021-11-25 00:00:00,12.50%,South West
The John Wallis Church of England Academy,Kent,0.00%,49.00%,5.00%,5.00%,0.00%,12.43%,15.00%,Good,2018-09-11 00:00:00,12.47%,South East
Furness College,Westmorland and Furness,8.00%,43.00%,8.00%,5.00%,0.00%,9.92%,25.00%,Good,2019-03-15 00:00:00,12.46%,North West
Bridgwater and Taunton College,Somerset,2.00%,43.00%,4.00%,4.00%,,11.70%,25.00%,Good,2019-03-08 00:00:00,12.42%,South West
Brockenhurst College,Hampshire,1.00%,55.00%,13.00%,10.00%,1.00%,8.58%,15.00%,Good,2017-02-03 00:00:00,12.42%,South East
Weston College,North Somerset,2.00%,49.00%,6.00%,6.00%,0.00%,10.77%,20.00%,Outstanding,2013-12-13 00:00:00,12.40%,South West
The Howard School,Medway,4.00%,55.00%,6.00%,4.00%,0.00%,8.97%,25.00%,Good,2021-11-24 00:00:00,12.38%,South East
AldridgeUTC@MediaCityUK,Salford,2.00%,56.00%,7.00%,7.00%,0.00%,0.00%,75.00%,Good,2023-02-23 00:00:00,12.37%,North West
East Surrey College,Surrey,4.00%,40.00%,2.00%,2.00%,0.00%,8.33%,50.00%,Requires improvement,2022-12-09 00:00:00,12.37%,South East
Chesterfield College,Derbyshire,2.00%,49.00%,3.00%,3.00%,0.00%,2.62%,75.00%,Good,2022-11-18 00:00:00,12.36%,East Midlands
The King Edmund School,Essex,2.00%,58.00%,10.00%,9.00%,0.00%,8.43%,16.67%,Requires improvement,2019-11-07 00:00:00,12.34%,East of England
Greenwood Academy,Birmingham,6.00%,56.00%,6.00%,6.00%,0.00%,7.92%,25.00%,Good,2021-10-20 00:00:00,12.31%,West Midlands
Ormiston Victory Academy,Norfolk,0.00%,68.00%,5.00%,5.00%,0.00%,8.10%,20.00%,Outstanding,2013-05-15 00:00:00,12.30%,East of England
Shenfield High School,Essex,6.00%,57.00%,13.00%,11.00%,0.00%,7.15%,15.00%,Good,2018-11-14 00:00:00,12.26%,East of England
Burton and South Derbyshire College,Staffordshire,1.00%,42.00%,2.00%,1.00%,0.00%,0.00%,100.00%,Outstanding,2023-10-13 00:00:00,12.18%,West Midlands
Kinver High School and Sixth Form,Staffordshire,0.00%,66.00%,5.00%,5.00%,0.00%,7.33%,25.00%,Good,2021-12-08 00:00:00,12.17%,West Midlands
Marriotts School,Hertfordshire,0.00%,44.00%,10.00%,8.00%,0.00%,9.53%,25.00%,Good,2021-11-11 00:00:00,12.15%,East of England
Batley Girls High School,Kirklees,1.00%,65.00%,4.00%,4.00%,0.00%,8.45%,20.00%,Outstanding,2013-10-10 00:00:00,12.13%,Yorkshire and The Humber
Oasis Academy Isle of Sheppey,Kent,0.00%,58.00%,0.00%,0.00%,0.00%,14.58%,0.00%,Special Measures,2022-06-08 00:00:00,12.13%,South East
The Mirfield Free Grammar,Kirklees,3.00%,72.00%,4.00%,4.00%,0.00%,6.07%,25.00%,Good,2020-02-13 00:00:00,12.10%,Yorkshire and The Humber
Clacton County High School,Essex,0.00%,63.00%,9.00%,6.00%,0.00%,8.32%,15.00%,Good,2018-09-20 00:00:00,12.01%,East of England
St Francis Xavier Sixth Form College,Wandsworth,,78.00%,6.00%,6.00%,0.00%,6.27%,15.00%,Good,2018-01-26 00:00:00,11.98%,London
Preston College,Lancashire,2.00%,41.00%,2.00%,1.00%,0.00%,3.70%,75.00%,Good,2023-01-20 00:00:00,11.95%,North West
Waverley Studio College,Birmingham,0.00%,68.00%,0.00%,0.00%,0.00%,0.00%,75.00%,Good,2022-09-23 00:00:00,11.92%,West Midlands
Plume School,Essex,5.00%,64.00%,8.00%,4.00%,0.00%,7.68%,15.00%,Good,2018-01-17 00:00:00,11.91%,East of England
Derby College,Derby,3.00%,52.00%,4.00%,3.00%,0.00%,9.22%,25.00%,Good,2019-12-04 00:00:00,11.91%,East Midlands
Priestley College,Warrington,2.00%,63.00%,10.00%,8.00%,,5.50%,25.00%,Good,2019-05-16 00:00:00,11.88%,North West
The Canterbury Academy,Kent,0.00%,55.00%,2.00%,1.00%,0.00%,5.73%,50.00%,Requires improvement,2023-02-22 00:00:00,11.88%,South East
Plumpton College,East Sussex,1.00%,24.00%,1.00%,1.00%,0.00%,16.67%,15.00%,Good,2018-02-23 00:00:00,11.85%,South East
Towers School and Sixth Form Centre,Kent,0.00%,37.00%,0.00%,0.00%,0.00%,13.35%,25.00%,Good,2019-01-23 00:00:00,11.84%,South East
Chester International School,Cheshire West and Chester,0.00%,38.00%,13.00%,13.00%,0.00%,0.00%,75.00%,Good,2022-02-09 00:00:00,11.80%,North West
Moreton School,Wolverhampton,0.00%,46.00%,8.00%,8.00%,0.00%,8.82%,25.00%,Good,2020-02-05 00:00:00,11.79%,West Midlands
The Parker E-ACT Academy,West Northamptonshire,4.00%,65.00%,6.00%,6.00%,0.00%,5.65%,25.00%,Good,2021-11-04 00:00:00,11.76%,East Midlands
South and City College Birmingham,Birmingham,1.00%,54.00%,2.00%,2.00%,0.00%,11.12%,15.00%,Good,2018-11-30 00:00:00,11.76%,West Midlands
Elizabeth Woodville School,West Northamptonshire,2.00%,65.00%,2.00%,5.00%,0.00%,2.63%,50.00%,Requires improvement,2022-11-02 00:00:00,11.73%,East Midlands
The Sittingbourne School,Kent,0.00%,54.00%,2.00%,2.00%,2.00%,0.60%,75.00%,Good,2023-03-22 00:00:00,11.67%,South East
Stanmore College,Harrow,0.00%,59.00%,3.00%,2.00%,0.00%,0.00%,75.00%,Good,2023-04-28 00:00:00,11.62%,London
Wrotham School,Kent,3.00%,52.00%,2.00%,2.00%,0.00%,9.15%,25.00%,Good,2019-05-22 00:00:00,11.61%,South East
Harlow College,Essex,1.00%,40.00%,3.00%,2.00%,,11.20%,25.00%,Good,2019-01-25 00:00:00,11.55%,East of England
Brockhill Park Performing Arts College,Kent,0.00%,59.00%,2.00%,2.00%,0.00%,8.33%,25.00%,Good,2021-10-13 00:00:00,11.53%,South East
Wilberforce College,"Kingston upon Hull, City of",,55.00%,4.00%,3.00%,0.00%,10.12%,15.00%,Good,2018-02-07 00:00:00,11.52%,Yorkshire and The Humber
Huddersfield New College,Kirklees,1.00%,70.00%,9.00%,8.00%,,4.58%,20.00%,Outstanding,2016-04-15 00:00:00,11.43%,Yorkshire and The Humber
The Beaconsfield School,Buckinghamshire,0.00%,72.00%,6.00%,4.00%,0.00%,4.88%,25.00%,Good,2019-02-13 00:00:00,11.43%,South East
Hampton Gardens Secondary School,Peterborough,0.00%,75.00%,5.00%,10.00%,0.00%,3.33%,25.00%,Good,2021-11-03 00:00:00,11.42%,East of England
Bay Leadership Academy,Lancashire,0.00%,49.00%,8.00%,4.00%,0.00%,0.00%,75.00%,Good,2022-10-13 00:00:00,11.40%,North West
Sandwich Technology School,Kent,0.00%,63.00%,6.00%,5.00%,0.00%,6.03%,25.00%,Good,2019-05-02 00:00:00,11.35%,South East
Lancaster and Morecambe College,Lancashire,0.00%,28.00%,2.00%,1.00%,0.00%,13.33%,25.00%,Good,2020-03-06 00:00:00,11.35%,North West
Bexleyheath Academy,Bexley,2.00%,47.00%,8.00%,7.00%,0.00%,7.57%,25.00%,Good,2021-07-07 00:00:00,11.32%,London
Knole Academy,Kent,2.00%,54.00%,2.00%,2.00%,0.00%,0.00%,75.00%,Good,2022-11-23 00:00:00,11.28%,South East
Tudor Grange Academy Kingshurst,Solihull,2.00%,52.00%,2.00%,2.00%,0.00%,12.78%,0.00%,Special Measures,2023-01-11 00:00:00,11.26%,West Midlands
